ཨཱོ་	o:_⁵⁵ 
འཁྱིབ་	_ch_ip_⁵¹ 
འཁྱིབས་	_ch_ip_⁵¹ 
འཁྱིས་	_ch_i?_⁵¹ 
འཁྱུང་	_ch_uŋ_⁵⁵ 
འཁྱུངས་	_ch_up_⁵¹ 
འཁྱུབ་	_ch_up_⁵¹ 
འཁྱུབས་	_ch_up_⁵¹ 
འཁྱུམ་	_ch_um_⁵⁵ 
འཁྱུམས་	_ch_um_⁵¹ 
འཁྱུལ་	_ch_y:_⁵⁵ 
འཁྱེ་	_ch_e_⁵⁵ 
འཁྱེག་	_ch_e?_⁵¹ 
འཁྱེགས་	_ch_e?_⁵¹ 
འཁྱེང་	_ch_eŋ_⁵⁵ 
འཁྱེངས་	_ch_eŋ_⁵¹ 
འཁྱེད་	_ch_e?_⁵¹ 
འཁྱེན་	_ch_en_⁵⁵ 
འཁྱེབ་	_ch_ep_⁵¹ 
འཁྱེབས་	_ch_ep_⁵¹ 
འཁྱེམ་	_ch_em_⁵⁵ 
འཁྱེམས་	_ch_em_⁵¹ 
འཁྱེལ་	_ch_e:_⁵⁵ 
འཁྱེས་	_ch_e?_⁵¹ 
འཁྱོ་	_ch_o_⁵⁵ 
འཁྱོད་	_ch_ø?_⁵¹ 
འཁྱོན་	_ch_on_⁵⁵ 
འཁྱོབ་	_ch_op_⁵¹ 
འཁྱོབས་	_ch_op_⁵¹ 
འཁྲག་	_tʂh_a?_⁵¹ 
འཁྲགས་	_tʂh_a?_⁵¹ 
འཁྲངས་	_tʂh_aŋ_⁵¹ 
འཁྲན་	_tʂh_an_⁵⁵ 
འཁྲམ་	_tʂh_am_⁵⁵ 
འཁྲམས་	_tʂh_am_⁵¹ 
འཁྲར་	_tʂh_ar_⁵⁵ 
འཁྲིང་	_tʂh_iŋ_⁵⁵ 
འཁྲིངས་	_tʂh_iŋ_⁵¹ 
འཁྲིན་	_tʂh_in_⁵⁵ 
འཁྲིབ་	_tʂh_ip_⁵¹ 
འཁྲིབས་	_tʂh_ip_⁵¹ 
འཁྲིམ་	_tʂh_im_⁵⁵ 
འཁྲིའི་	_tʂh_i:_⁵⁵ 
འཁྲིར་	_tʂh_ir_⁵⁵ 
འཁྲུབ་	_tʂh_up_⁵¹ 
འཁྲུབས་	_tʂh_up_⁵¹ 
འཁྲུམ་	_tʂh_um_⁵⁵ 
འཁྲུམས་	_tʂh_um_⁵¹ 
འཁྲེ་	_tʂh_e_⁵⁵ 
འཁྲེག་	_tʂh_e?_⁵¹ 
འཁྲེགས་	_tʂh_e?_⁵¹ 
འཁྲེངས་	_tʂh_eŋ_⁵¹ 
འཁྲེད་	_tʂh_e?_⁵¹ 
འཁྲེམ་	_tʂh_em_⁵⁵ 
འཁྲེམས་	_tʂh_em_⁵¹ 
འཁྲེར་	_tʂh_er_⁵⁵ 
འཁྲེལ་	_tʂh_e:_⁵⁵ 
འཁྲེས་	_tʂh_e?_⁵¹ 
འཁྲོང་	_tʂh_oŋ_⁵⁵ 
འཁྲོངས་	_tʂh_oŋ_⁵¹ 
འཁྲོད་	_tʂh_ø?_⁵¹ 
འཁྲོན་	_tʂh_on_⁵⁵ 
འཁྲོབ་	_tʂh_op_⁵¹ 
འཁྲོམ་	_tʂh_om_⁵⁵ 
འཁྲོམས་	_tʂh_om_⁵¹ 
འཁྲོར་	_tʂh_or_⁵⁵ 
འཁྲོལ་	_tʂh_ø:_⁵⁵ 
འཁྲོས་	_tʂh_ø?_⁵¹ 
འག་	_k_a_¹³ 
འགབས་	_k_əp_¹³² 
འགའི་	_k_ɛ:_¹³ 
འགིག་	_k_i?_¹³² 
འགིགས་	_k_i?_¹³² 
འགིངས་	_k_iŋ_¹³² 
འགིད་	_k_i?_¹³² 
འགིན་	_k_in_¹³ 
འགིབ་	_k_ip_¹³² 
འགིབས་	_k_ip_¹³² 
འགིམ་	_k_im_¹³ 
འགིམས་	_k_im_¹³² 
འགིར་	_k_ir_¹³ 
འགིལ་	_k_i:_¹³ 
འགིས་	_k_i?_¹³² 
འགུང་	_k_uŋ_¹³ 
འགུངས་	_k_up_¹³² 
འགུན་	_k_yn_¹³ 
འགུབ་	_k_up_¹³² 
འགུབས་	_k_up_¹³² 
འགུས་	_k_y?_¹³² 
འགེ་	_k_e_¹³ 
འགེག་	_k_e?_¹³² 
འགེན་	_k_en_¹³ 
འགེབ་	_k_ep_¹³² 
འགོབ་	_k_op_¹³² 
འགོབས་	_k_op_¹³² 
འགྱ་	_c_a_¹³ 
འགྱགས་	_c_a?_¹³² 
འགྱད་	_c_ɛ?_¹³² 
འགྱན་	_c_an_¹³ 
འགྱབ་	_c_ap_¹³² 
འགྱབས་	_c_əp_¹³² 
འགྱམས་	_c_am_¹³² 
འགྱལ་	_c_ɛ:_¹³ 
འགྱས་	_c_ɛ?_¹³² 
འགྱི་	_c_i_¹³ 
འགྱིགས་	_c_i?_¹³² 
འགྱིད་	_c_i?_¹³² 
འགྱིན་	_c_in_¹³ 
འགྱིབ་	_c_ip_¹³² 
འགྱིབས་	_c_ip_¹³² 
འགྱིམ་	_c_im_¹³ 
འགྱིམས་	_c_im_¹³² 
འགྱིར་	_c_ir_¹³ 
འགྱིལ་	_c_i:_¹³ 
འགྱིས་	_c_i?_¹³² 
འགྱུག་	_c_u?_¹³² 
འགྱུགས་	_c_u?_¹³² 
འགྱུང་	_c_uŋ_¹³ 
འགྱུངས་	_c_up_¹³² 
འགྱུད་	_c_y?_¹³² 
འགྱུན་	_c_yn_¹³ 
འགྱུབ་	_c_up_¹³² 
འགྱུབས་	_c_up_¹³² 
འགྱུམ་	_c_um_¹³ 
འགྱུམས་	_c_um_¹³² 
འགྱུལ་	_c_y:_¹³ 
འགྱེགས་	_c_e?_¹³² 
འགྱེང་	_c_eŋ_¹³ 
འགྱེངས་	_c_eŋ_¹³² 
འགྱེན་	_c_en_¹³ 
འགྱེབ་	_c_ep_¹³² 
འགྱེབས་	_c_ep_¹³² 
འགྱེམ་	_c_em_¹³ 
འགྱེམས་	_c_em_¹³² 
འགྱོ་	_c_o_¹³ 
འགྱོན་	_c_on_¹³ 
འགྱོབ་	_c_op_¹³² 
འགྱོབས་	_c_op_¹³² 
འགྱོམས་	_c_om_¹³² 
འགྱོར་	_c_or_¹³ 
འགྱོལ་	_c_ø:_¹³ 
འགྱོས་	_c_ø?_¹³² 
འགྲ་	_tʂ_a_¹³ 
འགྲག་	_tʂ_a?_¹³² 
འགྲབ་	_tʂ_ap_¹³² 
འགྲབས་	_tʂ_əp_¹³² 
འགྲར་	_tʂ_ar_¹³ 
འགྲལ་	_tʂ_ɛ:_¹³ 
འགྲི་	_tʂ_i_¹³ 
འགྲིང་	_tʂ_iŋ_¹³ 
འགྲིངས་	_tʂ_iŋ_¹³² 
འགྲིད་	_tʂ_i?_¹³² 
འགྲིན་	_tʂ_in_¹³ 
འགྲིར་	_tʂ_ir_¹³ 
འགྲུག་	_tʂ_u?_¹³² 
འགྲུགས་	_tʂ_u?_¹³² 
འགྲུང་	_tʂ_uŋ_¹³ 
འགྲུངས་	_tʂ_up_¹³² 
འགྲུན་	_tʂ_yn_¹³ 
འགྲུབས་	_tʂ_up_¹³² 
འགྲུམ་	_tʂ_um_¹³ 
འགྲུམས་	_tʂ_um_¹³² 
འགྲུར་	_tʂ_ur_¹³ 
འགྲེག་	_tʂ_e?_¹³² 
འགྲེགས་	_tʂ_e?_¹³² 
འགྲེན་	_tʂ_en_¹³ 
འགྲེབ་	_tʂ_ep_¹³² 
འགྲེབས་	_tʂ_ep_¹³² 
འགྲེར་	_tʂ_er_¹³ 
འགྲོད་	_tʂ_ø?_¹³² 
འགྲོབ་	_tʂ_op_¹³² 
འགྲོབས་	_tʂ_op_¹³² 
འགྲོམ་	_tʂ_om_¹³ 
འགྲོམས་	_tʂ_om_¹³² 
འགྲོའོ་	_tʂ_o_¹³ 
འངས་	__aŋ_¹³² 
འཆན་	_tɕh_an_⁵⁵ 
འཆབས་	_tɕh_əp_⁵¹ 
འཆིག་	_tɕh_i?_⁵¹ 
འཆིགས་	_tɕh_i?_⁵¹ 
འཆིད་	_tɕh_i?_⁵¹ 
འཆིན་	_tɕh_in_⁵⁵ 
འཆིབས་	_tɕh_ip_⁵¹ 
འཆིམ་	_tɕh_im_⁵⁵ 
འཆིལ་	_tɕh_i:_⁵⁵ 
འཆིས་	_tɕh_i?_⁵¹ 
འཆུང་	_tɕh_uŋ_⁵⁵ 
འཆུངས་	_tɕh_up_⁵¹ 
འཆུད་	_tɕh_y?_⁵¹ 
འཆུབ་	_tɕh_up_⁵¹ 
འཆུབས་	_tɕh_up_⁵¹ 
འཆུལ་	_tɕh_y:_⁵⁵ 
འཆེགས་	_tɕh_e?_⁵¹ 
འཆེང་	_tɕh_eŋ_⁵⁵ 
འཆེངས་	_tɕh_eŋ_⁵¹ 
འཆེད་	_tɕh_e?_⁵¹ 
འཆེན་	_tɕh_en_⁵⁵ 
འཆེབ་	_tɕh_ep_⁵¹ 
འཆེབས་	_tɕh_ep_⁵¹ 
འཆེམས་	_tɕh_em_⁵¹ 
འཆེར་	_tɕh_er_⁵⁵ 
འཆོག་	_tɕh_o?_⁵¹ 
འཆོང་	_tɕh_oŋ_⁵⁵ 
འཆོངས་	_tɕh_oŋ_⁵¹ 
འཆོད་	_tɕh_ø?_⁵¹ 
འཆོན་	_tɕh_on_⁵⁵ 
འཆོབ་	_tɕh_op_⁵¹ 
འཇམས་	_tɕ_am_¹³² 
འཇིན་	_tɕ_in_¹³ 
འཇིམས་	_tɕ_im_¹³² 
འཇིར་	_tɕ_ir_¹³ 
འཇིས་	_tɕ_i?_¹³² 
འཇུགས་	_tɕ_u?_¹³² 
འཇུབ་	_tɕ_up_¹³² 
འཇུབས་	_tɕ_up_¹³² 
འཇུལ་	_tɕ_y:_¹³ 
འཇེག་	_tɕ_e?_¹³² 
འཇེགས་	_tɕ_e?_¹³² 
འཇེང་	_tɕ_eŋ_¹³ 
འཇེངས་	_tɕ_eŋ_¹³² 
འཇེད་	_tɕ_e?_¹³² 
འཇེབ་	_tɕ_ep_¹³² 
འཇེམས་	_tɕ_em_¹³² 
འཇེལ་	_tɕ_e:_¹³ 
འཇོགས་	_tɕ_o?_¹³² 
འཇོབ་	_tɕ_op_¹³² 
འཐངས་	_th_aŋ_⁵¹ 
འཐའ་	_th_a_⁵⁵ 
འཐི་	_th_i_⁵⁵ 
འཐིད་	_th_i?_⁵¹ 
འཐིམས་	_th_im_⁵¹ 
འཐིར་	_th_ir_⁵⁵ 
འཐིས་	_th_i?_⁵¹ 
འཐུགས་	_th_u?_⁵¹ 
འཐུན་	_th_yn_⁵⁵ 
འཐུབས་	_th_up_⁵¹ 
འཐུལ་	_th_y:_⁵⁵ 
འཐེ་	_th_e_⁵⁵ 
འཐེར་	_th_er_⁵⁵ 
འཐེལ་	_th_e:_⁵⁵ 
འཐེས་	_th_e?_⁵¹ 
འཐོ་	_th_o_⁵⁵ 
འཐོང་	_th_oŋ_⁵⁵ 
འཐོངས་	_th_oŋ_⁵¹ 
འཐོད་	_th_ø?_⁵¹ 
འཐོས་	_th_ø?_⁵¹ 
འདགས་	_t_a?_¹³² 
འདཨང་	_t_aŋ_¹³ 
འདད་	_t_ɛ?_¹³² 
འདིགས་	_t_i?_¹³² 
འདིད་	_t_i?_¹³² 
འདིབ་	_t_ip_¹³² 
འདིབས་	_t_ip_¹³² 
འདིམ་	_t_im_¹³ 
འདིམས་	_t_im_¹³² 
འདིའི་	_t_i:_¹³ 
འདིལ་	_t_i:_¹³ 
འདུགས་	_t_u?_¹³² 
འདུང་	_t_uŋ_¹³ 
འདུངས་	_t_up_¹³² 
འདུབ་	_t_up_¹³² 
འདུབས་	_t_up_¹³² 
འདེག་	_t_e?_¹³² 
འདེན་	_t_en_¹³ 
འདེར་	_t_er_¹³ 
འདོབས་	_t_op_¹³² 
འདོས་	_t_ø?_¹³² 
འདྲང་	_tʂ_aŋ_¹³ 
འདྲངས་	_tʂ_aŋ_¹³² 
འདྲབ་	_tʂ_ap_¹³² 
འདྲབས་	_tʂ_əp_¹³² 
འདྲམ་	_tʂ_am_¹³ 
འདྲམས་	_tʂ_am_¹³² 
འདྲར་	_tʂ_ar_¹³ 
འདྲིག་	_tʂ_i?_¹³² 
འདྲིགས་	_tʂ_i?_¹³² 
འདྲིང་	_tʂ_iŋ_¹³ 
འདྲིངས་	_tʂ_iŋ_¹³² 
འདྲིབ་	_tʂ_ip_¹³² 
འདྲིམས་	_tʂ_im_¹³² 
འདྲིའི་	_tʂ_i:_¹³ 
འདྲུགས་	_tʂ_u?_¹³² 
འདྲུང་	_tʂ_uŋ_¹³ 
འདྲུངས་	_tʂ_up_¹³² 
འདྲུན་	_tʂ_yn_¹³ 
འདྲུབས་	_tʂ_up_¹³² 
འདྲུམ་	_tʂ_um_¹³ 
འདྲུར་	_tʂ_ur_¹³ 
འདྲེང་	_tʂ_eŋ_¹³ 
འདྲེངས་	_tʂ_eŋ_¹³² 
འདྲེབ་	_tʂ_ep_¹³² 
འདྲེབས་	_tʂ_ep_¹³² 
འདྲེམ་	_tʂ_em_¹³ 
འདྲེམས་	_tʂ_em_¹³² 
འདྲེལ་	_tʂ_e:_¹³ 
འདྲོ་	_tʂ_o_¹³ 
འདྲོན་	_tʂ_on_¹³ 
འདྲོམ་	_tʂ_om_¹³ 
འདྲོམས་	_tʂ_om_¹³² 
འདྲོར་	_tʂ_or_¹³ 
འདྲོལ་	_tʂ_ø:_¹³ 
འདྲོས་	_tʂ_ø?_¹³² 
འཕད་	_ph_ɛ?_⁵¹ 
འཕབས་	_ph_əp_⁵¹ 
འཕམས་	_ph_am_⁵¹ 
འཕའ་	_ph_a_⁵⁵ 
འཕས་	_ph_ɛ?_⁵¹ 
འཕི་	_ph_i_⁵⁵ 
འཕིང་	_ph_iŋ_⁵⁵ 
འཕིངས་	_ph_iŋ_⁵¹ 
འཕིད་	_ph_i?_⁵¹ 
འཕིན་	_ph_in_⁵⁵ 
འཕིམ་	_ph_im_⁵⁵ 
འཕིམས་	_ph_im_⁵¹ 
འཕིལ་	_ph_i:_⁵⁵ 
འཕིས་	_ph_i?_⁵¹ 
འཕུ་	_ph_u_⁵⁵ 
འཕུན་	_ph_yn_⁵⁵ 
འཕུབས་	_ph_up_⁵¹ 
འཕུམ་	_ph_um_⁵⁵ 
འཕུམས་	_ph_um_⁵¹ 
འཕུས་	_ph_y?_⁵¹ 
འཕེ་	_ph_e_⁵⁵ 
འཕེག་	_ph_e?_⁵¹ 
འཕེགས་	_ph_e?_⁵¹ 
འཕེང་	_ph_eŋ_⁵⁵ 
འཕེངས་	_ph_eŋ_⁵¹ 
འཕེད་	_ph_e?_⁵¹ 
འཕེབ་	_ph_ep_⁵¹ 
འཕེབས་	_ph_ep_⁵¹ 
འཕེམ་	_ph_em_⁵⁵ 
འཕེམས་	_ph_em_⁵¹ 
འཕེས་	_ph_e?_⁵¹ 
འཕོན་	_ph_on_⁵⁵ 
འཕོབས་	_ph_op_⁵¹ 
འཕོམ་	_ph_om_⁵⁵ 
འཕོམས་	_ph_om_⁵¹ 
འཕོར་	_ph_or_⁵⁵ 
འཕོལ་	_ph_ø:_⁵⁵ 
འཕྱབ་	_tɕh_ap_⁵¹ 
འཕྱབས་	_tɕh_əp_⁵¹ 
འཕྱམས་	_tɕh_am_⁵¹ 
འཕྱལ་	_tɕh_ɛ:_⁵⁵ 
འཕྱིག་	_tɕh_i?_⁵¹ 
འཕྱིགས་	_tɕh_i?_⁵¹ 
འཕྱིན་	_tɕh_in_⁵⁵ 
འཕྱིབ་	_tɕh_ip_⁵¹ 
འཕྱིབས་	_tɕh_ip_⁵¹ 
འཕྱིམ་	_tɕh_im_⁵⁵ 
འཕྱིམས་	_tɕh_im_⁵¹ 
འཕྱིར་	_tɕh_ir_⁵⁵ 
འཕྱུ་	_tɕh_u_⁵⁵ 
འཕྱུང་	_tɕh_uŋ_⁵⁵ 
འཕྱུངས་	_tɕh_up_⁵¹ 
འཕྱུད་	_tɕh_y?_⁵¹ 
འཕྱུན་	_tɕh_yn_⁵⁵ 
འཕྱུབ་	_tɕh_up_⁵¹ 
འཕྱུབས་	_tɕh_up_⁵¹ 
འཕྱུམ་	_tɕh_um_⁵⁵ 
འཕྱུམས་	_tɕh_um_⁵¹ 
འཕྱུལ་	_tɕh_y:_⁵⁵ 
འཕྱུས་	_tɕh_y?_⁵¹ 
འཕྱེག་	_tɕh_e?_⁵¹ 
འཕྱེགས་	_tɕh_e?_⁵¹ 
འཕྱེང་	_tɕh_eŋ_⁵⁵ 
འཕྱེངས་	_tɕh_eŋ_⁵¹ 
འཕྱེད་	_tɕh_e?_⁵¹ 
འཕྱེབ་	_tɕh_ep_⁵¹ 
འཕྱེབས་	_tɕh_ep_⁵¹ 
འཕྱེམ་	_tɕh_em_⁵⁵ 
འཕྱེམས་	_tɕh_em_⁵¹ 
འཕྱེར་	_tɕh_er_⁵⁵ 
འཕྱེལ་	_tɕh_e:_⁵⁵ 
འཕྱོད་	_tɕh_ø?_⁵¹ 
འཕྱོབ་	_tɕh_op_⁵¹ 
འཕྱོབས་	_tɕh_op_⁵¹ 
འཕྱོམ་	_tɕh_om_⁵⁵ 
འཕྱོམས་	_tɕh_om_⁵¹ 
འཕྱོལ་	_tɕh_ø:_⁵⁵ 
འཕྲགས་	_tʂh_a?_⁵¹ 
འཕྲངས་	_tʂh_aŋ_⁵¹ 
འཕྲན་	_tʂh_an_⁵⁵ 
འཕྲབ་	_tʂh_ap_⁵¹ 
འཕྲབས་	_tʂh_əp_⁵¹ 
འཕྲམ་	_tʂh_am_⁵⁵ 
འཕྲམས་	_tʂh_am_⁵¹ 
འཕྲར་	_tʂh_ar_⁵⁵ 
འཕྲིངས་	_tʂh_iŋ_⁵¹ 
འཕྲིད་	_tʂh_i?_⁵¹ 
འཕྲིབ་	_tʂh_ip_⁵¹ 
འཕྲིབས་	_tʂh_ip_⁵¹ 
འཕྲིམ་	_tʂh_im_⁵⁵ 
འཕྲིམས་	_tʂh_im_⁵¹ 
འཕྲིར་	_tʂh_ir_⁵⁵ 
འཕྲིལ་	_tʂh_i:_⁵⁵ 
འཕྲིས་	_tʂh_i?_⁵¹ 
འཕྲུང་	_tʂh_uŋ_⁵⁵ 
འཕྲུངས་	_tʂh_up_⁵¹ 
འཕྲུད་	_tʂh_y?_⁵¹ 
འཕྲུན་	_tʂh_yn_⁵⁵ 
འཕྲུབ་	_tʂh_up_⁵¹ 
འཕྲུབས་	_tʂh_up_⁵¹ 
འཕྲུམ་	_tʂh_um_⁵⁵ 
འཕྲུམས་	_tʂh_um_⁵¹ 
འཕྲུར་	_tʂh_ur_⁵⁵ 
འཕྲུས་	_tʂh_y?_⁵¹ 
འཕྲེ་	_tʂh_e_⁵⁵ 
འཕྲེག་	_tʂh_e?_⁵¹ 
འཕྲེགས་	_tʂh_e?_⁵¹ 
འཕྲེན་	_tʂh_en_⁵⁵ 
འཕྲེབ་	_tʂh_ep_⁵¹ 
འཕྲེབས་	_tʂh_ep_⁵¹ 
འཕྲེམ་	_tʂh_em_⁵⁵ 
འཕྲེམས་	_tʂh_em_⁵¹ 
འཕྲེར་	_tʂh_er_⁵⁵ 
འཕྲེལ་	_tʂh_e:_⁵⁵ 
འཕྲོང་	_tʂh_oŋ_⁵⁵ 
འཕྲོངས་	_tʂh_oŋ_⁵¹ 
འཕྲོན་	_tʂh_on_⁵⁵ 
འཕྲོབ་	_tʂh_op_⁵¹ 
འཕྲོབས་	_tʂh_op_⁵¹ 
འཕྲོམ་	_tʂh_om_⁵⁵ 
འཕྲོམས་	_tʂh_om_⁵¹ 
འབ་	_p_a_¹³ 
འབམས་	_p_am_¹³² 
འབིང་	_p_iŋ_¹³ 
འབིངས་	_p_iŋ_¹³² 
འབིད་	_p_i?_¹³² 
འབིན་	_p_in_¹³ 
འབིམ་	_p_im_¹³ 
འབིམས་	_p_im_¹³² 
འབིར་	_p_ir_¹³ 
འབིལ་	_p_i:_¹³ 
འབིས་	_p_i?_¹³² 
འབུམས་	_p_um_¹³² 
འབུའི་	_p_y:_¹³ 
འབེགས་	_p_e?_¹³² 
འབེང་	_p_eŋ_¹³ 
འབེངས་	_p_eŋ_¹³² 
འབེད་	_p_e?_¹³² 
འབེམས་	_p_em_¹³² 
འབེས་	_p_e?_¹³² 
འབོན་	_p_on_¹³ 
འབོབས་	_p_op_¹³² 
འབོམས་	_p_om_¹³² 
འབྱ་	_tɕ_a_¹³ 
འབྱག་	_tɕ_a?_¹³² 
འབྱགས་	_tɕ_a?_¹³² 
འབྱད་	_tɕ_ɛ?_¹³² 
འབྱན་	_tɕ_an_¹³ 
འབྱབ་	_tɕ_ap_¹³² 
འབྱབས་	_tɕ_əp_¹³² 
འབྱས་	_tɕ_ɛ?_¹³² 
འབྱིག་	_tɕ_i?_¹³² 
འབྱིགས་	_tɕ_i?_¹³² 
འབྱིབས་	_tɕ_ip_¹³² 
འབྱིམ་	_tɕ_im_¹³ 
འབྱིམས་	_tɕ_im_¹³² 
འབྱིར་	_tɕ_ir_¹³ 
འབྱིས་	_tɕ_i?_¹³² 
འབྱུགས་	_tɕ_u?_¹³² 
འབྱུངས་	_tɕ_up_¹³² 
འབྱུད་	_tɕ_y?_¹³² 
འབྱུན་	_tɕ_yn_¹³ 
འབྱུབ་	_tɕ_up_¹³² 
འབྱུབས་	_tɕ_up_¹³² 
འབྱུམ་	_tɕ_um_¹³ 
འབྱུམས་	_tɕ_um_¹³² 
འབྱུལ་	_tɕ_y:_¹³ 
འབྱུས་	_tɕ_y?_¹³² 
འབྱེག་	_tɕ_e?_¹³² 
འབྱེགས་	_tɕ_e?_¹³² 
འབྱེང་	_tɕ_eŋ_¹³ 
འབྱེངས་	_tɕ_eŋ_¹³² 
འབྱེན་	_tɕ_en_¹³ 
འབྱེབ་	_tɕ_ep_¹³² 
འབྱེབས་	_tɕ_ep_¹³² 
འབྱེམ་	_tɕ_em_¹³ 
འབྱེམས་	_tɕ_em_¹³² 
འབྱེལ་	_tɕ_e:_¹³ 
འབྱོད་	_tɕ_ø?_¹³² 
འབྱོབ་	_tɕ_op_¹³² 
འབྱོབས་	_tɕ_op_¹³² 
འབྱོམ་	_tɕ_om_¹³ 
འབྱོམས་	_tɕ_om_¹³² 
འབྱོས་	_tɕ_ø?_¹³² 
འབྲགས་	_tʂ_a?_¹³² 
འབྲབས་	_tʂ_əp_¹³² 
འབྲམས་	_tʂ_am_¹³² 
འབྲར་	_tʂ_ar_¹³ 
འབྲིག་	_tʂ_i?_¹³² 
འབྲིགས་	_tʂ_i?_¹³² 
འབྲིངས་	_tʂ_iŋ_¹³² 
འབྲིན་	_tʂ_in_¹³ 
འབྲིབ་	_tʂ_ip_¹³² 
འབྲིབས་	_tʂ_ip_¹³² 
འབྲིར་	_tʂ_ir_¹³ 
འབྲིལ་	_tʂ_i:_¹³ 
འབྲིས་	_tʂ_i?_¹³² 
འབྲུགས་	_tʂ_u?_¹³² 
འབྲུང་	_tʂ_uŋ_¹³ 
འབྲུངས་	_tʂ_up_¹³² 
འབྲུན་	_tʂ_yn_¹³ 
འབྲུམས་	_tʂ_um_¹³² 
འབྲུར་	_tʂ_ur_¹³ 
འབྲུལ་	_tʂ_y:_¹³ 
འབྲེན་	_tʂ_en_¹³ 
འབྲེབ་	_tʂ_ep_¹³² 
འབྲེབས་	_tʂ_ep_¹³² 
འབྲེམ་	_tʂ_em_¹³ 
འབྲེམས་	_tʂ_em_¹³² 
འབྲེར་	_tʂ_er_¹³ 
འབྲེས་	_tʂ_e?_¹³² 
འབྲོགས་	_tʂ_o?_¹³² 
འབྲོད་	_tʂ_ø?_¹³² 
འབྲོན་	_tʂ_on_¹³ 
འབྲོབས་	_tʂ_op_¹³² 
འབྲོམས་	_tʂ_om_¹³² 
འབྲོར་	_tʂ_or_¹³ 
འབྲོལ་	_tʂ_ø:_¹³ 
འམས་	__am_¹³² 
འཚད་	_tsh_ɛ?_⁵¹ 
འཚན་	_tsh_an_⁵⁵ 
འཚི་	_tsh_i_⁵⁵ 
འཚིངས་	_tsh_iŋ_⁵¹ 
འཚིད་	_tsh_i?_⁵¹ 
འཚིན་	_tsh_in_⁵⁵ 
འཚིབ་	_tsh_ip_⁵¹ 
འཚིབས་	_tsh_ip_⁵¹ 
འཚིམ་	_tsh_im_⁵⁵ 
འཚིམས་	_tsh_im_⁵¹ 
འཚིལ་	_tsh_i:_⁵⁵ 
འཚུ་	_tsh_u_⁵⁵ 
འཚུང་	_tsh_uŋ_⁵⁵ 
འཚུངས་	_tsh_up_⁵¹ 
འཚུན་	_tsh_yn_⁵⁵ 
འཚེགས་	_tsh_e?_⁵¹ 
འཚེན་	_tsh_en_⁵⁵ 
འཚེབ་	_tsh_ep_⁵¹ 
འཚེབས་	_tsh_ep_⁵¹ 
འཚེའུ་	_tsh_iu_⁵⁵ 
འཚོན་	_tsh_on_⁵⁵ 
འཚོམ་	_tsh_om_⁵⁵ 
འཛམས་	_ts_am_¹³² 
འཛལ་	_ts_ɛ:_¹³ 
འཛས་	_ts_ɛ?_¹³² 
འཛིགས་	_ts_i?_¹³² 
འཛིབ་	_ts_ip_¹³² 
འཛིབས་	_ts_ip_¹³² 
འཛིམས་	_ts_im_¹³² 
འཛིལ་	_ts_i:_¹³ 
འཛིས་	_ts_i?_¹³² 
འཛུ་	_ts_u_¹³ 
འཛུང་	_ts_uŋ_¹³ 
འཛུངས་	_ts_up_¹³² 
འཛུན་	_ts_yn_¹³ 
འཛུབ་	_ts_up_¹³² 
འཛུབས་	_ts_up_¹³² 
འཛུས་	_ts_y?_¹³² 
འཛེན་	_ts_en_¹³ 
འཛེབ་	_ts_ep_¹³² 
འཛེབས་	_ts_ep_¹³² 
འཛེལ་	_ts_e:_¹³ 
འཛེས་	_ts_e?_¹³² 
འཛོ་	_ts_o_¹³ 
འཛོང་	_ts_oŋ_¹³ 
འཛོངས་	_ts_oŋ_¹³² 
འཛོན་	_ts_on_¹³ 
འཛོབས་	_ts_op_¹³² 
འཛོར་	_ts_or_¹³ 
འཛོས་	_ts_ø?_¹³² 
འརྗ་	__tɕ_a_¹³+B6418 
འིག་	_ɛ:_a?_⁵¹ 
འིགས་	_ɛ:_a?_⁵¹ 
འིང་	_ɛ:_aŋ_⁵⁵ 
འིངས་	_ɛ:_aŋ_⁵¹ 
འིད་	_ɛ:_ɛ?_⁵¹ 
འིན་	_ɛ:_an_⁵⁵ 
འིབ་	_ɛ:_ap_⁵¹ 
འིབས་	_ɛ:_əp_⁵¹ 
འིམ་	_ɛ:_am_⁵⁵ 
འིམས་	_ɛ:_am_⁵¹ 
འིར་	_ɛ:_ar_⁵⁵ 
འིལ་	_ɛ:_ɛ:_⁵⁵ 
འུགས་	_au_a?_⁵¹ 
འུངས་	_au_aŋ_⁵¹ 
འུམ་	_au_am_⁵⁵ 
འུམས་	_au_am_⁵¹ 
འུས་	_au_ɛ?_⁵¹ 
འེག་	_ɛ:_a?_⁵¹ 
འེགས་	_ɛ:_a?_⁵¹ 
འེང་	_ɛ:_aŋ_⁵⁵ 
འེངས་	_ɛ:_aŋ_⁵¹ 
འེད་	_ɛ:_ɛ?_⁵¹ 
འེན་	_ɛ:_an_⁵⁵ 
འེབས་	_ɛ:_əp_⁵¹ 
འེམ་	_ɛ:_am_⁵⁵ 
འེམས་	_ɛ:_am_⁵¹ 
འེར་	_ɛ:_ar_⁵⁵ 
འེལ་	_ɛ:_ɛ:_⁵⁵ 
འེས་	_ɛ:_ɛ?_⁵¹ 
འོགས་	_ø_a?_⁵¹ 
འོམས་	_ø_am_⁵¹ 
འོའོ་	_ø_ø_⁵⁵ 
ཡབས་	_j_əp_¹³² 
